"","pop","country","lat","Estimate","StdError","year"
"1",NA,"JP",38.25,13.92,NA,"1988"
"2",NA,"JP",35.7,13.92,NA,"1988"
"3",NA,"JP",35.65,13.98,NA,"1988"
"4",NA,"JP",35.65,13.91,NA,"1988"
"5",NA,"JP",34.7,13.56,NA,"1988"
"6",NA,"JP",33.5,13.46,NA,"1988"
"7",NA,"JP",33.25,13.6,NA,"1988"
"8",NA,"JP",33.25,13.4,NA,"1988"
"9",NA,"JP",32.5,13.43,NA,"1988"
"10",NA,"JP",31.6,13.57,NA,"1988"
"11",NA,"JP",31.6,13.39,NA,"1988"
"12",NA,"JP",26.22,12.55,NA,"1988"
"13",NA,"US",26,13.4,NA,"1988"
"14",NA,"US",29.45,13.1,NA,"1988"
"15",NA,"US",30,13.5,NA,"1988"
"16",NA,"US",30.3,13.25,NA,"1988"
"17",NA,"US",32,13.37,NA,"1988"
"18",NA,"US",35,13.62,NA,"1988"
"19",NA,"US",36,14.1,NA,"1988"
"20",NA,"US",36,13.67,NA,"1988"
"21",NA,"US",38,13.5,NA,"1988"
"22",NA,"US",38,13.8,NA,"1988"
"23",NA,"US",38.3,13.6,NA,"1988"
"24",NA,"US",39,13.75,NA,"1988"
"25",NA,"US",39.15,13.7,NA,"1988"
"26",NA,"US",39.15,14.2,NA,"1988"
"27",NA,"US",39.45,13.8,NA,"1988"
"28",NA,"US",41,13.75,NA,"1988"
"29",NA,"US",42,13.45,NA,"1988"
"30","AIZ","JP",37.47,13.8055534251455,0.093326677696757,"2008"
"31","BER","US",39.77,13.3815200381743,0.104691980729636,"2008"
"32","BRU","US",31.12,12.6778971813431,0.0432476571267542,"2008"
"33","FAY","US",35.02,13.0894469072591,0.0509127532834751,"2008"
"34","FEM","US",27.57,12.5716906703355,0.793466776593556,"2008"
"35","HIR","JP",34.38,13.1088874236273,0.0946092049747003,"2008"
"36","JAC","US",30.32,12.675635765985,0.0819776248733296,"2008"
"37","KAG","JP",31.55,13.2917405264244,0.0691300219797529,"2008"
"38","KHO","JP",37.37,13.3905340286713,0.0659384201360338,"2008"
"39","MAN","US",38.62,13.3862516577478,0.102767537101099,"2008"
"40","NEW","US",40.72,13.803044771604,0.125894037269701,"2008"
"41","NVA","US",36.35,13.0995914344232,0.071996058274791,"2008"
"42","OAK","US",28.85,12.3128257953782,0.184102111013233,"2008"
"43","OKI","JP",26.22,12.9128269753514,0.181730350222485,"2008"
"44","SAK","JP",38.92,13.6644933129919,0.0641511949357661,"2008"
"45","SHI","JP",34.02,13.1224219644301,0.117793225207862,"2008"
"46","TAN","JP",30.72,12.6477931369594,0.0929360490363081,"2008"
"47","TOK","JP",35.63,13.2599462255156,0.0109584004266007,"2008"
"48","UTS","JP",36.53,13.5887057611562,0.0429608151998674,"2008"
"49","WAV","US",37.03,13.4348804445957,0.0872185406835002,"2008"
"50","ZIO","US",33.75,13.0484023264296,0.0762082043950839,"2008"
"51","BER","US",39.77,13.6347393855316,0.0376666895151371,"2018"
"52","BRU","US",31.13,12.9822623848403,0.0446820241133573,"2018"
"53","FAY","US",35.03,13.3475621657716,0.0276594588854454,"2018"
"54","FEM","US",27.58,12.5152329761281,0.169316891342257,"2018"
"55","JAC","US",30.33,12.85333478709,0.0681139543052792,"2018"
"56","KAG","JP",31.6,13.4597658617467,0.0322417976638823,"2018"
"57","KAN","JP",36.56,13.7262182220873,0.04429594692045,"2018"
"58","KYO","JP",35,13.5563083233257,0.0258330129052395,"2018"
"59","MAN","US",38.63,13.6351836503065,0.0321503109517701,"2018"
"60","NEW","US",40.73,13.8321843694584,0.0497305385737873,"2018"
"61","NIG","JP",37.91,13.836927787247,0.0346984447124646,"2018"
"62","NVA","US",36.35,13.6160510085636,0.0269603937333822,"2018"
"63","OAK","US",28.85,12.5001152491737,0.0152930413772299,"2018"
"64","OKI","JP",26.2,12.7075402560413,0.0627373346251701,"2018"
"65","PBS","US",26.67,3.38036185468313,15.1210183888845,"2018"
"66","SAG","JP",33.25,13.432878152914,0.0365730085977475,"2018"
"67","SEN","JP",38.29,14.0149985373855,0.028214673182,"2018"
"68","TAK","JP",35.35,13.6568122166761,0.0738572765811064,"2018"
"69","WAV","US",37.05,13.6844164792661,0.0234254071858629,"2018"
"70","YAM","JP",34.18,13.5273816039181,0.0466993336458572,"2018"
"71","YAT","JP",32.65,13.2124481836514,0.0334727123007514,"2018"
"72","ZIO","US",33.75,13.1770734815869,0.0302788196380638,"2018"
