pop,country,lat,photoperiod,DI,year
BER,US,39.77,8,0.9757,2008
BRU,US,31.12,8,0.8151,2008
NVA,US,36.35,8,0.9871,2008
OAK,US,28.85,8,0.5286,2008
WAV,US,37.03,8,0.9681,2008
FAY,US,35.02,8,0.9489,2008
FEM,US,27.57,8,0.119,2008
JAC,US,30.32,8,0.625,2008
MAN,US,38.62,8,0.9957,2008
NEW,US,40.72,8,1,2008
KAG,JP,31.55,8,0.963,2008
HIR,JP,34.38,8,0.9935,2008
KHO,JP,37.37,8,0.8375,2008
SHI,JP,34.02,8,0.9038,2008
UTS,JP,36.53,8,0.9293,2008
AIZ,JP,37.47,8,0.9543,2008
SAK,JP,38.92,8,0.9899,2008
TAN,JP,30.72,8,0.9611,2008
TOK,JP,35.63,8,0.9466,2008
OKI,JP,26.22,8,0.2606,2008
ZIO,US,33.75,8,0.9244,2008
PBS,US,26.67,8,0.06132075471698113,2018
FEM,US,27.58,8,0.11663066954643629,2018
OAK,US,28.85,8,0.3828351012536162,2018
JAC,US,30.33,8,0.7818991097922848,2018
BRU,US,31.13,8,0.7292604501607717,2018
ZIO,US,33.75,8,0.9710238248551192,2018
FAY,US,35.03,8,0.8820058997050148,2018
NVA,US,36.35,8,0.9782790309106099,2018
WAV,US,37.05,8,0.99,2018
MAN,US,38.63,8,0.9942929613189601,2018
BER,US,39.77,8,0.9958819492107069,2018
NEW,US,40.73,8,0.9964747356051704,2018
OKI,JP,26.2,8,0.25026968716289105,2018
KAG,JP,31.6,8,0.9669984284965951,2018
YAT,JP,32.65,8,0.9929078014184397,2018
SAG,JP,33.25,8,0.9703410776075136,2018
YAM,JP,34.18,8,0.9851258581235698,2018
KYO,JP,35,8,0.9864785420340976,2018
TAK,JP,35.35,8,0.99533527696793,2018
KAN,JP,36.56,8,0.972027972027972,2018
NIG,JP,37.91,8,0.9968701095461658,2018
SEN,JP,38.29,8,0.9833091436865021,2018
